clasificación de los rines por tipos según la distancia entre pernos entre marcas y modelos,,,,,,, PCD = Distancia del perno al centro
,MARCA,MODELO,PCD,AÑO,,,
,CHEVROLET,N300 cargo,"(4x100/114,3)",2010-2016,,,
,CHEVROLET,N300 pasajeros,"(4x100/114,3)",2010-2016,,,
,CHEVROLET,sail,"(4x100/114,3)",2012-2016,,,
,DAEWOO,Nubira,"(4x100/114,3)",1997-2007,,,
,DAEWOO,Tacuma,"(4x100/114,3)",2000-2002,,,
,HAIMA,2,"(4x100/114,3)",2011-2016,,,
,HIUNDAY,accent,"(4x100/114,3)",1994-1999,,,
,MAZDA,323,"(4x100/114,3)",2003-2005,,,
,MAZDA,626,"(4x100/114,3)",1987-1997,,,
,MITSUBISHI,Lancer,"(4x100/114,3)",2007,,,
,NISSAN,Almera ,"(4x100/114,3)",2000-2006,,,
,RENAULT,Scala,"(4x100/114,3)",2010-2016,,,
,BYD,F0,"(4x100/114,3)",2006-2012,,,
,CHEVROLET,Corsa,"(4x100/114,3)",2000-2016,,,
,CHEVROLET,Spark GT,"(4x100/114,3)",2013-2016,,,
,FORD,Laser,"(4x100/114,3)",1990-2007,,,
,GEELY,CK Taxi,"(4x100/114,3)",2010-2016,,,
,GEELY,LC,"(4x100/114,3)",2010-2016,,,
,HIUNDAY,accent,"(4x100/114,3)",2000-2016,,,
,HIUNDAY,Getz,"(4x100/114,3)",2002-2008,,,
,HIUNDAY,Grand city taxi,"(4x100/114,3)",2013-2016,,,
,HIUNDAY,I10,"(4x100/114,3)",2008-2015,,,
,HIUNDAY,I10 sedan,"(4x100/114,3)",2014-2016,,,
,HIUNDAY,I25 sedan,"(4x100/114,3)",2014-2016,,,
,JAC,J2,"(4x100/114,3)",2011-2014,,,
,JAC,J3,"(4x100/114,3)",2011-2016,,,
,KIA,Picanto ion,"(4x100/114,3)",2004-2016,,,
,KIA,Rio ,"(4x100/114,3)",2000-2016,,,
,MAZDA,2,"(4x100/114,3)",2008-2016,,,
,MAZDA,323,"(4x100/114,3)",1990-2002,,,
,MAZDA,Allegro,"(4x100/114,3)",1990-2004,,,
,MITSUBISHI,Lancer,"(4x100/114,3)",1991-2006,,,
,RENAULT,Clio,"(4x100/114,3)",1990-2016,,,
,RENAULT,Express taxi,"(4x100/114,3)",2012-2016,,,
,RENAULT,kangoo,"(4x100/114,3)",1998-2012,,,
,RENAULT,Simbol,"(4x100/114,3)",1999-2016,,,
,SUZUKI,Celerio,"(4x100/114,3)",2015-2016,,,
,SUZUKI,Dzire,"(4x100/114,3)",2012-2016,,,
,SUZUKI,Swift Live,"(4x100/114,3)",2004-2016,,,
,VOLKSWAGEN,Polo,"(4x100/114,3)",1990-2000,,,
,VOLKSWAGEN,Saveiro,"(4x100/114,3)",2010-2014,,,
,CHANA,star cargo,"(4x100/114,3)",2012-2015,,,
,CHANA,star van,"(4x100/114,3)",2012-2015,,,
,CHEVROLET,Chevy,"(4x100/114,3)",2007-2009,,,
,CHEVROLET,Chevy taxi,"(4x100/114,3)",2010-2016,,,
,CHEVROLET,wagon,"(4x100/114,3)",1998-2002,,,
,HAFEI,Minyi,"(4x100/114,3)",2006-2016,,,
,HAFEI,Ruiyi,"(4x100/114,3)",2006-2016,,,
,HAFEI,Zhongyi,"(4x100/114,3)",2006-2016,,,
,HAIMA,1,"(4x100/114,3)",2011-2016,,,
,HIUNDAY,Super pony taxi,"(4x100/114,3)",2013-2016,,,
,CHERY,Qq 311,"(4x100/114,3)",2011-2016,,,
,CHEVROLET,sprint,"(4x100/114,3)",1995-2005,,,
,DAEWOO,Matiz,"(4x100/114,3)",2000-2012,,,
